Location,Country
Reedshire,Sudan
Stevenhaven,Cuba
Vaughntown,Japan
East Raymondbury,Lao People's Democratic Republic
Michaelchester,Bangladesh
Thomaston,Tokelau
Brownside,Guyana
West Danieltown,Guinea
Whitehaven,Palau
Richardsonburgh,Ecuador
North Dustinborough,Iceland
Marilynhaven,Colombia
Fisherborough,Dominican Republic
Ericbury,Georgia
Port Kathyshire,Malaysia
East Kaitlynville,Togo
South Benjaminport,Iran
Dianaville,Estonia
Riveraview,Korea
New Saraberg,Lebanon
Reyesville,Trinidad and Tobago
North Vanessaton,Saint Vincent and the Grenadines
Port Thomas,Belarus
Nicolefort,Northern Mariana Islands
East Adriana,Jersey
North Luis,Niue
East Cherylborough,Lesotho
New Jeremiahport,Anguilla
Lake Paul,Romania
South Robertbury,Uganda
East Dawnland,Comoros
Cindymouth,Austria
New Kristi,Austria
Lake Carolynfort,Paraguay
Perezport,Angola
East Angelamouth,Philippines
Jenkinsport,Cambodia
West Crystal,Benin
Gardnershire,Yemen
Sandramouth,Luxembourg
East Tracy,Iran
Gatesside,Malawi
North Stephentown,Heard Island and McDonald Islands
Johnstonchester,Wallis and Futuna
Guerrafurt,Macao
Port Kylestad,Honduras
Allisonton,Liechtenstein
Lisaside,Uruguay
Daviesshire,Cameroon
New Kevinhaven,Cape Verde
South Todd,San Marino
East Raven,Korea
Emilyborough,Guadeloupe
Grossbury,Cambodia
West Drew,Dominica
Amberside,Egypt
West Kelly,Jamaica
Conleytown,Portugal
New Andrefurt,Honduras
West Matthew,French Polynesia
East Amber,Gambia
New Kristenland,Guyana
North Amanda,French Polynesia
Port Brian,Niger
Lake Jeffreybury,Fiji
New Amy,United States Virgin Islands
Port Daniel,Fiji
Lake Alexland,Aruba
North Michellestad,French Southern Territories
East Philip,China
Robertchester,Aruba
Geraldside,China
East Robert,Portugal
Chasefurt,Cape Verde
West John,Sweden
West Mark,Cote d'Ivoire
West Stephenchester,Portugal
West Abigail,Niue
